Date,Open,High,Low,Close,Adj Close,Volume
10/5/22,245.009995,246.669998,233.270004,240.809998,240.809998,86982700
10/6/22,239.440002,244.580002,235.350006,238.130005,238.130005,69298400
10/7/22,233.940002,234.570007,222.020004,223.070007,223.070007,83916800
10/10/22,223.929993,226.990005,218.360001,222.960007,222.960007,67925000
10/11/22,220.949997,225.75,215,216.5,216.5,77013200
10/12/22,215.330002,219.300003,211.509995,217.240005,217.240005,66860700
10/13/22,208.300003,222.990005,206.220001,221.720001,221.720001,91483000
10/14/22,224.009995,226.259995,204.160004,204.990005,204.990005,94124500
10/17/22,210.039993,221.860001,209.449997,219.350006,219.350006,79428800
10/18/22,229.5,229.820007,217.25,220.190002,220.190002,75891900
10/19/22,219.800003,222.929993,217.779999,222.039993,222.039993,66571500
10/20/22,208.279999,215.550003,202,207.279999,207.279999,117798100
10/21/22,206.419998,214.660004,203.800003,214.440002,214.440002,75713800
10/24/22,205.820007,213.5,198.589996,211.25,211.25,100446800
10/25/22,210.100006,224.350006,210,222.419998,222.419998,96507900
10/26/22,219.399994,230.600006,218.199997,224.639999,224.639999,85012500
10/27/22,229.770004,233.809998,222.850006,225.089996,225.089996,61638800
10/28/22,225.399994,228.860001,216.350006,228.520004,228.520004,69152400
10/31/22,226.190002,229.850006,221.940002,227.539993,227.539993,61554300
11/1/22,234.050003,237.399994,227.279999,227.820007,227.820007,62688800
11/2/22,226.039993,227.869995,214.820007,214.979996,214.979996,63070300
11/3/22,211.360001,221.199997,210.139999,215.309998,215.309998,56538800
11/4/22,222.600006,223.800003,203.080002,207.470001,207.470001,98622200
11/7/22,208.649994,208.899994,196.660004,197.080002,197.080002,93916500
11/8/22,194.020004,195.199997,186.75,191.300003,191.300003,128803400
11/9/22,190.779999,195.889999,177.119995,177.589996,177.589996,127062700
11/10/22,189.899994,191,180.029999,190.720001,190.720001,132703000
11/11/22,186,196.520004,182.589996,195.970001,195.970001,114403600
11/14/22,192.770004,195.729996,186.339996,190.949997,190.949997,92226600
11/15/22,195.880005,200.820007,192.059998,194.419998,194.419998,91293800
11/16/22,191.509995,192.570007,185.660004,186.919998,186.919998,66567600
11/17/22,183.960007,186.160004,180.899994,183.169998,183.169998,64336000
11/18/22,185.050003,185.190002,176.550003,180.190002,180.190002,76048900
11/21/22,175.850006,176.770004,167.539993,167.869995,167.869995,92882700
11/22/22,168.630005,170.919998,166.190002,169.910004,169.910004,78452300
11/23/22,173.570007,183.619995,172.5,183.199997,183.199997,109536700
11/25/22,185.059998,185.199997,180.630005,182.860001,182.860001,50672700
11/28/22,179.960007,188.5,179,182.919998,182.919998,92905200
11/29/22,184.990005,186.380005,178.75,180.830002,180.830002,83357100
11/30/22,182.429993,194.759995,180.630005,194.699997,194.699997,109186400
12/1/22,197.080002,198.919998,191.800003,194.699997,194.699997,80046200
12/2/22,191.779999,196.25,191.110001,194.860001,194.860001,73645900
12/5/22,189.440002,191.270004,180.550003,182.449997,182.449997,93122700
12/6/22,181.220001,183.649994,175.330002,179.820007,179.820007,92150800
12/7/22,175.029999,179.380005,172.220001,174.039993,174.039993,84213300
12/8/22,172.199997,175.199997,169.059998,173.440002,173.440002,97624500
12/9/22,173.839996,182.5,173.360001,179.050003,179.050003,104872300
12/12/22,176.100006,177.369995,167.520004,167.820007,167.820007,109794500
12/13/22,174.869995,175.050003,156.910004,160.949997,160.949997,175862700
12/14/22,159.25,161.619995,155.309998,156.800003,156.800003,140682300
12/15/22,153.440002,160.929993,153.279999,157.669998,157.669998,122334500
12/16/22,159.639999,160.990005,150.039993,150.229996,150.229996,139032200
12/19/22,154,155.25,145.820007,149.869995,149.869995,139390600
12/20/22,146.050003,148.470001,137.660004,137.800003,137.800003,159563300
12/21/22,139.339996,141.259995,135.889999,137.570007,137.570007,145417400
12/22/22,136,136.630005,122.260002,125.349998,125.349998,210090300
12/23/22,126.370003,128.619995,121.019997,123.150002,123.150002,166989700
12/27/22,117.5,119.669998,108.760002,109.099998,109.099998,208643400
12/28/22,110.349998,116.269997,108.239998,112.709999,112.709999,221070500
12/29/22,120.389999,123.57,117.5,121.82,121.82,221923300
12/30/22,119.949997,124.480003,119.75,123.18,123.18,157304500
1/3/23,118.470001,118.800003,104.639999,108.099998,108.099998,231402800
1/4/23,109.110001,114.589996,107.519997,113.639999,113.639999,180389000
1/5/23,110.510002,111.75,107.160004,110.339996,110.339996,157986300
1/6/23,103,114.389999,101.809998,113.059998,113.059998,220575900
1/9/23,118.959999,123.519997,117.110001,119.769997,119.769997,190284000
1/10/23,121.07,122.760002,114.919998,118.849998,118.849998,167642500
1/11/23,122.089996,125.949997,120.510002,123.220001,123.220001,183810800
1/12/23,122.559998,124.129997,117,123.559998,123.559998,169400900
1/13/23,116.550003,122.629997,115.599998,122.400002,122.400002,180439300
1/17/23,125.699997,131.699997,125.019997,131.490005,131.490005,186477000
1/18/23,136.559998,136.679993,127.010002,128.779999,128.779999,195680300
1/19/23,127.260002,129.990005,124.309998,127.169998,127.169998,170291900
1/20/23,128.679993,133.509995,127.349998,133.419998,133.419998,138429900
1/23/23,135.869995,145.380005,134.270004,143.75,143.75,203119200
1/24/23,143,146.5,141.100006,143.889999,143.889999,158699100
1/25/23,141.910004,146.410004,138.070007,144.429993,144.429993,192734300
1/26/23,159.970001,161.419998,154.759995,160.270004,160.270004,234815100
1/27/23,162.429993,180.679993,161.169998,177.899994,177.899994,305632100
1/30/23,178.050003,179.770004,166.5,166.660004,166.660004,230878800
1/31/23,164.570007,174.300003,162.779999,173.220001,173.220001,196813500
2/1/23,173.889999,183.809998,169.929993,181.410004,181.410004,213806300
2/2/23,187.330002,196.75,182.610001,188.270004,188.270004,217448300
2/3/23,183.949997,199,183.690002,189.979996,189.979996,231684200
2/6/23,193.009995,198.169998,189.919998,194.759995,194.759995,186188100
2/7/23,196.429993,197.5,189.550003,196.809998,196.809998,186010300
2/8/23,196.100006,203,194.309998,201.289993,201.289993,180673600
2/9/23,207.779999,214,204.770004,207.320007,207.320007,215431400
2/10/23,202.229996,206.199997,192.889999,196.889999,196.889999,204193800
2/13/23,194.419998,196.300003,187.610001,194.639999,194.639999,172475500
2/14/23,191.940002,209.820007,189.440002,209.25,209.25,216455700
2/15/23,211.759995,214.660004,206.110001,214.240005,214.240005,182108600
2/16/23,210.779999,217.649994,201.839996,202.039993,202.039993,229586500
2/17/23,199.990005,208.440002,197.5,208.309998,208.309998,213080200
2/21/23,204.990005,209.710007,197.220001,197.369995,197.369995,179282700
